FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
11,1769589272515,0.122224,88.2546,527.5070,-390.4024,0.519250,0.482726,-0.417643,0.568270,1.219675,1.133883,-0.981008,-0.394419,-0.287864,0.256716,2.513219,-1.559440,-0.152832,-0.392972,-0.292667,0.265109,2.691569,-1.411663,-0.096918
12,1769589272526,0.133335,88.2403,527.5098,-390.3881,0.519271,0.482732,-0.417630,0.568254,1.219734,1.133906,-0.980986,-0.394429,-0.287858,0.256709,2.513220,-1.559471,-0.152873,-0.392966,-0.292651,0.265112,2.691565,-1.411681,-0.096829
13,1769589272537,0.144446,88.2489,527.5256,-390.4030,0.519274,0.482690,-0.417658,0.568267,1.219733,1.133801,-0.981046,-0.394415,-0.287868,0.256700,2.513262,-1.559433,-0.152809,-0.392962,-0.292655,0.265126,2.691624,-1.411765,-0.096909
14,1769589272548,0.155557,88.2647,527.5078,-390.4261,0.519251,0.482726,-0.417665,0.568252,1.219688,1.133893,-0.981069,-0.394417,-0.287873,0.256708,2.513231,-1.559411,-0.152820,-0.392959,-0.292687,0.265108,2.691649,-1.411636,-0.096897
15,1769589272559,0.166668,88.2092,527.5063,-390.4503,0.519221,0.482732,-0.417680,0.568263,1.219612,1.133902,-0.981098,-0.394409,-0.287862,0.256698,2.513277,-1.559442,-0.152819,-0.392910,-0.292663,0.265106,2.691643,-1.411564,-0.096986
16,1769589272570,0.177780,88.1310,527.5284,-390.4899,0.519233,0.482750,-0.417660,0.568251,1.219646,1.133950,-0.981058,-0.394413,-0.287872,0.256716,2.513204,-1.559423,-0.152808,-0.392822,-0.292643,0.265127,2.691610,-1.411552,-0.096907
17,1769589272581,0.188891,88.1018,527.5421,-390.4992,0.519232,0.482749,-0.417664,0.568250,1.219645,1.133947,-0.981066,-0.394416,-0.287863,0.256716,2.513222,-1.559451,-0.152849,-0.392795,-0.292628,0.265140,2.691633,-1.411554,-0.096909
18,1769589272593,0.200002,88.1287,527.5197,-390.5016,0.519271,0.482726,-0.417655,0.568241,1.219740,1.133897,-0.981050,-0.394410,-0.287870,0.256706,2.513256,-1.559428,-0.152788,-0.392803,-0.292646,0.265117,2.691642,-1.411667,-0.096830
19,1769589272604,0.211113,88.1385,527.4901,-390.5243,0.519262,0.482731,-0.417671,0.568233,1.219723,1.133912,-0.981091,-0.394420,-0.287858,0.256710,2.513222,-1.559472,-0.152840,-0.392795,-0.292667,0.265086,2.691670,-1.411616,-0.096841
20,1769589272615,0.222225,88.2391,527.5011,-390.4924,0.519315,0.482730,-0.417670,0.568185,1.219872,1.133934,-0.981108,-0.394412,-0.287875,0.256724,2.513202,-1.559416,-0.152827,-0.392869,-0.292718,0.265097,2.691742,-1.411668,-0.096642
21,1769589272626,0.233336,88.2540,527.4878,-390.5135,0.519299,0.482703,-0.417710,0.568195,1.219828,1.133865,-0.981198,-0.394421,-0.287859,0.256689,2.513247,-1.559488,-0.152808,-0.392868,-0.292730,0.265082,2.691807,-1.411671,-0.096750
22,1769589272637,0.244447,88.3076,527.5165,-390.5201,0.519285,0.482698,-0.417739,0.568190,1.219800,1.133856,-0.981268,-0.394414,-0.287875,0.256687,2.513265,-1.559434,-0.152745,-0.392902,-0.292767,0.265110,2.691839,-1.411614,-0.096799
23,1769589272648,0.255558,88.3406,527.4887,-390.5390,0.519286,0.482692,-0.417753,0.568184,1.219804,1.133845,-0.981303,-0.394430,-0.287865,0.256752,2.513139,-1.559393,-0.152919,-0.392910,-0.292799,0.265081,2.691897,-1.411621,-0.096801
24,1769589272659,0.266670,88.4154,527.4490,-390.5101,0.519313,0.482695,-0.417749,0.568160,1.219881,1.133862,-0.981303,-0.394413,-0.287873,0.256705,2.513263,-1.559412,-0.152818,-0.392975,-0.292833,0.265042,2.691889,-1.411626,-0.096695
25,1769589272670,0.277781,88.4229,527.4826,-390.5045,0.519281,0.482709,-0.417743,0.568181,1.219795,1.133887,-0.981281,-0.394408,-0.287868,0.256685,2.513304,-1.559422,-0.152749,-0.392994,-0.292838,0.265077,2.691874,-1.411584,-0.096782
26,1769589272681,0.288892,88.4335,527.4921,-390.5328,0.519284,0.482724,-0.417738,0.568169,1.219808,1.133927,-0.981274,-0.394420,-0.287868,0.256729,2.513197,-1.559410,-0.152854,-0.392978,-0.292870,0.265085,2.691854,-1.411540,-0.096735
27,1769589272693,0.300004,88.3894,527.4789,-390.5863,0.519285,0.482723,-0.417727,0.568177,1.219806,1.133922,-0.981245,-0.394406,-0.287869,0.256706,2.513249,-1.559447,-0.152794,-0.392911,-0.292878,0.265070,2.691839,-1.411568,-0.096739
28,1769589272704,0.311115,88.3949,527.4842,-390.5921,0.519287,0.482734,-0.417711,0.568178,1.219810,1.133946,-0.981206,-0.394421,-0.287864,0.256714,2.513235,-1.559412,-0.152836,-0.392911,-0.292891,0.265076,2.691818,-1.411572,-0.096715
29,1769589272715,0.322226,88.4007,527.4630,-390.6003,0.519277,0.482749,-0.417721,0.568167,1.219792,1.133987,-0.981236,-0.394423,-0.287871,0.256735,2.513149,-1.559414,-0.152822,-0.392909,-0.292902,0.265054,2.691844,-1.411504,-0.096706
30,1769589272726,0.333337,88.3484,527.4936,-390.5587,0.519279,0.482722,-0.417718,0.568190,1.219784,1.133913,-0.981219,-0.394413,-0.287859,0.256692,2.513257,-1.559480,-0.152787,-0.392905,-0.292831,0.265087,2.691806,-1.411578,-0.096770
31,1769589272737,0.344449,88.4298,527.4805,-390.5380,0.519278,0.482749,-0.417718,0.568169,1.219792,1.133985,-0.981227,-0.394419,-0.287871,0.256697,2.513248,-1.559444,-0.152758,-0.392974,-0.292880,0.265074,2.691829,-1.411507,-0.096706
32,1769589272748,0.355560,88.3683,527.5097,-390.4390,0.519300,0.482779,-0.417693,0.568141,1.219860,1.134069,-0.981179,-0.394413,-0.287872,0.256700,2.513246,-1.559436,-0.152776,-0.392992,-0.292778,0.265107,2.691800,-1.411472,-0.096561
33,1769589272759,0.366671,88.3132,527.5243,-390.4622,0.519284,0.482775,-0.417689,0.568162,1.219810,1.134049,-0.981163,-0.394424,-0.287869,0.256720,2.513206,-1.559416,-0.152843,-0.392943,-0.292755,0.265121,2.691761,-1.411475,-0.096635
34,1769589272770,0.377782,88.2965,527.4706,-390.4782,0.519303,0.482786,-0.417673,0.568147,1.219863,1.134082,-0.981131,-0.394421,-0.287865,0.256692,2.513266,-1.559448,-0.152772,-0.392915,-0.292759,0.265067,2.691736,-1.411475,-0.096543
35,1769589272781,0.388894,88.2990,527.5067,-390.4724,0.519305,0.482791,-0.417665,0.568147,1.219867,1.134095,-0.981111,-0.394413,-0.287871,0.256701,2.513270,-1.559414,-0.152770,-0.392920,-0.292760,0.265103,2.691737,-1.411485,-0.096527
36,1769589272793,0.400005,88.3067,527.5414,-390.4695,0.519281,0.482777,-0.417687,0.568165,1.219802,1.134053,-0.981157,-0.394419,-0.287867,0.256739,2.513184,-1.559410,-0.152893,-0.392934,-0.292757,0.265138,2.691777,-1.411481,-0.096643
37,1769589272804,0.411116,88.3062,527.5604,-390.4607,0.519278,0.482777,-0.417671,0.568179,1.219789,1.134048,-0.981113,-0.394413,-0.287875,0.256705,2.513231,-1.559426,-0.152766,-0.392943,-0.292753,0.265158,2.691729,-1.411502,-0.096661
38,1769589272815,0.422227,88.2772,527.5080,-390.4732,0.519292,0.482798,-0.417651,0.568164,1.219828,1.134102,-0.981072,-0.394421,-0.287864,0.256716,2.513220,-1.559426,-0.152854,-0.392910,-0.292749,0.265105,2.691680,-1.411473,-0.096570
39,1769589272826,0.433339,88.2734,527.5150,-390.4671,0.519309,0.482796,-0.417654,0.568148,1.219876,1.134105,-0.981086,-0.394413,-0.287867,0.256703,2.513254,-1.559427,-0.152820,-0.392905,-0.292741,0.265112,2.691723,-1.411496,-0.096508
40,1769589272837,0.444450,88.3317,527.5291,-390.4197,0.519310,0.482781,-0.417663,0.568153,1.219877,1.134068,-0.981104,-0.394425,-0.287860,0.256705,2.513227,-1.559466,-0.152812,-0.392980,-0.292745,0.265127,2.691730,-1.411520,-0.096537
41,1769589272848,0.455561,88.3650,527.5289,-390.5138,0.519275,0.482764,-0.417664,0.568198,1.219772,1.134007,-0.981087,-0.394424,-0.287865,0.256724,2.513152,-1.559446,-0.152831,-0.392952,-0.292830,0.265125,2.691698,-1.411548,-0.096711
42,1769589272859,0.466673,88.3634,527.5383,-390.5187,0.519263,0.482761,-0.417661,0.568214,1.219736,1.133992,-0.981075,-0.394419,-0.287857,0.256718,2.513226,-1.559469,-0.152881,-0.392952,-0.292832,0.265135,2.691679,-1.411554,-0.096765
43,1769589272870,0.477784,88.3735,527.5333,-390.5481,0.519269,0.482768,-0.417675,0.568193,1.219759,1.134020,-0.981115,-0.394419,-0.287855,0.256667,2.513293,-1.559534,-0.152753,-0.392933,-0.292859,0.265128,2.691704,-1.411507,-0.096721
44,1769589272881,0.488895,88.3290,527.4819,-390.5353,0.519285,0.482772,-0.417674,0.568175,1.219807,1.134038,-0.981122,-0.394420,-0.287863,0.256710,2.513214,-1.559481,-0.152796,-0.392906,-0.292819,0.265076,2.691747,-1.411521,-0.096647
45,1769589272893,0.500006,88.2831,527.5299,-390.5505,0.519257,0.482783,-0.417674,0.568191,1.219733,1.134055,-0.981114,-0.394420,-0.287873,0.256702,2.513247,-1.559422,-0.152799,-0.392870,-0.292799,0.265125,2.691697,-1.411454,-0.096724
46,1769589272904,0.511117,88.2478,527.5355,-390.5193,0.519260,0.482783,-0.417655,0.568203,1.219732,1.134048,-0.981064,-0.394424,-0.287854,0.256718,2.513187,-1.559485,-0.152852,-0.392869,-0.292756,0.265132,2.691634,-1.411480,-0.096727
47,1769589272915,0.522229,88.1629,527.5277,-390.5398,0.519259,0.482781,-0.417663,0.568200,1.219732,1.134047,-0.981084,-0.394413,-0.287869,0.256714,2.513209,-1.559442,-0.152807,-0.392795,-0.292708,0.265123,2.691678,-1.411486,-0.096729
48,1769589272926,0.533340,88.1667,527.4849,-390.5573,0.519270,0.482798,-0.417673,0.568167,1.219774,1.134102,-0.981123,-0.394417,-0.287859,0.256692,2.513273,-1.559453,-0.152792,-0.392778,-0.292724,0.265079,2.691727,-1.411427,-0.096637
49,1769589272937,0.544451,88.1997,527.4935,-390.5441,0.519280,0.482786,-0.417674,0.568167,1.219800,1.134075,-0.981125,-0.394414,-0.287877,0.256704,2.513251,-1.559412,-0.152826,-0.392808,-0.292736,0.265088,2.691740,-1.411471,-0.096630
50,1769589272948,0.555562,88.3454,527.4863,-390.4961,0.519289,0.482762,-0.417688,0.568169,1.219818,1.134017,-0.981157,-0.394418,-0.287870,0.256701,2.513246,-1.559460,-0.152804,-0.392943,-0.292798,0.265082,2.691760,-1.411519,-0.096649
51,1769589272959,0.566673,88.3617,527.4894,-390.4885,0.519290,0.482776,-0.417663,0.568175,1.219818,1.134047,-0.981096,-0.394414,-0.287869,0.256713,2.513268,-1.559391,-0.152844,-0.392961,-0.292812,0.265086,2.691722,-1.411528,-0.096624
52,1769589272970,0.577785,88.4156,527.4506,-390.4373,0.519245,0.482778,-0.417707,0.568182,1.219709,1.134048,-0.981195,-0.394412,-0.287869,0.256689,2.513294,-1.559433,-0.152807,-0.393045,-0.292805,0.265049,2.691793,-1.411420,-0.096762
53,1769589272981,0.588896,88.4706,527.4639,-390.4760,0.519224,0.482761,-0.417712,0.568212,1.219643,1.133994,-0.981196,-0.394422,-0.287875,0.256709,2.513221,-1.559420,-0.152809,-0.393066,-0.292866,0.265062,2.691779,-1.411448,-0.096883
54,1769589272993,0.600007,88.4755,527.4900,-390.4992,0.519236,0.482757,-0.417693,0.568219,1.219669,1.133980,-0.981146,-0.394419,-0.287868,0.256710,2.513221,-1.559441,-0.152800,-0.393051,-0.292890,0.265087,2.691726,-1.411492,-0.096859
55,1769589273004,0.611118,88.4964,527.4882,-390.4989,0.519233,0.482786,-0.417680,0.568207,1.219668,1.134054,-0.981123,-0.394434,-0.287853,0.256709,2.513217,-1.559466,-0.152867,-0.393065,-0.292913,0.265086,2.691716,-1.411434,-0.096806
56,1769589273015,0.622229,88.3451,527.5385,-390.5439,0.519241,0.482764,-0.417672,0.568224,1.219678,1.133994,-0.981097,-0.394416,-0.287864,0.256713,2.513212,-1.559473,-0.152816,-0.392927,-0.292835,0.265134,2.691674,-1.411507,-0.096837
57,1769589273026,0.633341,88.3309,527.5273,-390.5294,0.519228,0.482781,-0.417664,0.568227,1.219646,1.134034,-0.981076,-0.394409,-0.287877,0.256697,2.513247,-1.559454,-0.152759,-0.392931,-0.292819,0.265124,2.691640,-1.411455,-0.096846
58,1769589273037,0.644452,88.2514,527.5157,-390.5529,0.519235,0.482771,-0.417639,0.568247,1.219651,1.134000,-0.981010,-0.394423,-0.287855,0.256703,2.513199,-1.559499,-0.152790,-0.392862,-0.292781,0.265112,2.691589,-1.411535,-0.096859
59,1769589273048,0.655563,88.2042,527.5445,-390.5206,0.519235,0.482790,-0.417632,0.568237,1.219657,1.134050,-0.980997,-0.394413,-0.287873,0.256708,2.513219,-1.559448,-0.152764,-0.392849,-0.292731,0.265142,2.691572,-1.411488,-0.096816
60,1769589273059,0.666674,88.2001,527.5310,-390.4994,0.519246,0.482775,-0.417645,0.568229,1.219688,1.134018,-0.981030,-0.394419,-0.287867,0.256726,2.513201,-1.559421,-0.152871,-0.392858,-0.292707,0.265129,2.691622,-1.411523,-0.096801
61,1769589273070,0.677786,88.1624,527.4943,-390.4404,0.519269,0.482774,-0.417605,0.568239,1.219735,1.134012,-0.980933,-0.394413,-0.287868,0.256708,2.513244,-1.559436,-0.152809,-0.392873,-0.292645,0.265095,2.691506,-1.411591,-0.096744
62,1769589273081,0.688897,88.1722,527.4871,-390.4547,0.519269,0.482779,-0.417615,0.568228,1.219741,1.134029,-0.980960,-0.394422,-0.287867,0.256699,2.513225,-1.559473,-0.152777,-0.392867,-0.292662,0.265087,2.691532,-1.411559,-0.096726
63,1769589273093,0.700008,88.1460,527.5040,-390.4520,0.519255,0.482779,-0.417631,0.568229,1.219709,1.134027,-0.980997,-0.394427,-0.287857,0.256699,2.513243,-1.559462,-0.152844,-0.392853,-0.292638,0.265104,2.691560,-1.411524,-0.096771
64,1769589273104,0.711120,88.1548,527.4811,-390.4654,0.519269,0.482794,-0.417629,0.568204,1.219754,1.134074,-0.981004,-0.394420,-0.287860,0.256704,2.513245,-1.559466,-0.152849,-0.392843,-0.292657,0.265080,2.691608,-1.411507,-0.096679
65,1769589273115,0.722231,88.2040,527.4664,-390.4316,0.519267,0.482785,-0.417620,0.568220,1.219740,1.134047,-0.980974,-0.394419,-0.287860,0.256703,2.513198,-1.559492,-0.152777,-0.392906,-0.292668,0.265067,2.691572,-1.411544,-0.096715
66,1769589273126,0.733342,88.2083,527.4189,-390.3824,0.519269,0.482737,-0.417596,0.568277,1.219717,1.133906,-0.980896,-0.394427,-0.287851,0.256697,2.513214,-1.559530,-0.152760,-0.392955,-0.292629,0.265022,2.691468,-1.411715,-0.096844
67,1769589273137,0.744453,88.2859,527.4028,-390.3439,0.519319,0.482713,-0.417629,0.568227,1.219861,1.133875,-0.980994,-0.394423,-0.287852,0.256667,2.513273,-1.559572,-0.152722,-0.393018,-0.292647,0.265005,2.691601,-1.411773,-0.096699
68,1769589273148,0.755565,88.3642,527.4146,-390.4401,0.519276,0.482735,-0.417617,0.568256,1.219745,1.133911,-0.980954,-0.394429,-0.287844,0.256686,2.513249,-1.559545,-0.152753,-0.393018,-0.292776,0.265015,2.691539,-1.411697,-0.096810
69,1769589273159,0.766676,88.4582,527.4869,-390.4545,0.519303,0.482711,-0.417658,0.568221,1.219826,1.133873,-0.981065,-0.394434,-0.287848,0.256683,2.513245,-1.559512,-0.152776,-0.393060,-0.292844,0.265085,2.691655,-1.411717,-0.096744
70,1769589273170,0.777787,88.4639,527.5298,-390.4528,0.519305,0.482757,-0.417606,0.568220,1.219830,1.133980,-0.980944,-0.394427,-0.287851,0.256689,2.513271,-1.559494,-0.152775,-0.393065,-0.292867,0.265128,2.691559,-1.411676,-0.096653
71,1769589273181,0.788898,88.3929,527.5066,-390.4502,0.519331,0.482696,-0.417605,0.568248,1.219877,1.133825,-0.980930,-0.394427,-0.287846,0.256676,2.513260,-1.559537,-0.152732,-0.393017,-0.292802,0.265105,2.691536,-1.411867,-0.096709
72,1769589273193,0.800009,88.2796,527.5282,-390.4859,0.519261,0.482702,-0.417635,0.568285,1.219693,1.133821,-0.980984,-0.394436,-0.287830,0.256694,2.513217,-1.559575,-0.152827,-0.392931,-0.292741,0.265127,2.691550,-1.411753,-0.096941
73,1769589273204,0.811121,88.2416,527.5171,-390.4469,0.519318,0.482712,-0.417618,0.568237,1.219852,1.133866,-0.980964,-0.394435,-0.287849,0.256685,2.513253,-1.559518,-0.152765,-0.392913,-0.292693,0.265115,2.691564,-1.411788,-0.096709
74,1769589273215,0.822232,88.2566,527.4758,-390.3872,0.519332,0.482713,-0.417618,0.568223,1.219893,1.133875,-0.980970,-0.394437,-0.287844,0.256709,2.513197,-1.559525,-0.152826,-0.392962,-0.292661,0.265076,2.691576,-1.411795,-0.096655
75,1769589273226,0.833343,88.2468,527.4818,-390.4248,0.519342,0.482720,-0.417622,0.568206,1.219925,1.133899,-0.980986,-0.394430,-0.287847,0.256686,2.513239,-1.559532,-0.152782,-0.392923,-0.292682,0.265080,2.691599,-1.411777,-0.096599
76,1769589273237,0.844454,88.3211,527.5452,-390.4139,0.519316,0.482726,-0.417620,0.568226,1.219854,1.133905,-0.980973,-0.394431,-0.287848,0.256705,2.513237,-1.559471,-0.152850,-0.392990,-0.292730,0.265145,2.691582,-1.411749,-0.096681
77,1769589273248,0.855566,88.3279,527.5496,-390.4438,0.519311,0.482752,-0.417638,0.568195,1.219856,1.133980,-0.981029,-0.394425,-0.287852,0.256693,2.513249,-1.559500,-0.152734,-0.392968,-0.292758,0.265148,2.691635,-1.411638,-0.096623
78,1769589273259,0.866677,88.2115,527.5469,-390.5036,0.519318,0.482704,-0.417637,0.568230,1.219856,1.133851,-0.981011,-0.394425,-0.287845,0.256692,2.513239,-1.559532,-0.152782,-0.392849,-0.292707,0.265143,2.691623,-1.411790,-0.096719
79,1769589273270,0.877788,88.2342,527.4388,-390.4702,0.519255,0.482764,-0.417692,0.568196,1.219726,1.134008,-0.981154,-0.394414,-0.287864,0.256672,2.513276,-1.559489,-0.152665,-0.392896,-0.292699,0.265036,2.691742,-1.411485,-0.096769
80,1769589273281,0.888899,88.2603,527.3994,-390.5432,0.519332,0.482734,-0.417574,0.568238,1.219886,1.133918,-0.980859,-0.394428,-0.287850,0.256678,2.513249,-1.559538,-0.152739,-0.392860,-0.292783,0.264995,2.691470,-1.411802,-0.096628
81,1769589273293,0.900011,88.2595,527.3842,-390.5734,0.519275,0.482747,-0.417595,0.568264,1.219736,1.133937,-0.980898,-0.394419,-0.287855,0.256674,2.513252,-1.559540,-0.152675,-0.392853,-0.292801,0.264980,2.691494,-1.411701,-0.096797
82,1769589273304,0.911122,88.3462,527.4397,-390.5397,0.519245,0.482756,-0.417613,0.568270,1.219664,1.133955,-0.980939,-0.394426,-0.287851,0.256694,2.513209,-1.559550,-0.152766,-0.392943,-0.292838,0.265037,2.691505,-1.411619,-0.096877
83,1769589273315,0.922233,88.3421,527.4545,-390.5461,0.519287,0.482741,-0.417599,0.568255,1.219771,1.133926,-0.980912,-0.394426,-0.287858,0.256692,2.513245,-1.559485,-0.152772,-0.392925,-0.292841,0.265051,2.691497,-1.411712,-0.096764
84,1769589273326,0.933344,88.3094,527.4835,-390.5473,0.519320,0.482712,-0.417609,0.568242,1.219854,1.133864,-0.980940,-0.394434,-0.287840,0.256681,2.513239,-1.559574,-0.152732,-0.392891,-0.292812,0.265078,2.691530,-1.411799,-0.096709
85,1769589273337,0.944456,88.3474,527.4374,-390.5159,0.519295,0.482724,-0.417623,0.568245,1.219794,1.133890,-0.980972,-0.394430,-0.287832,0.256689,2.513229,-1.559592,-0.152803,-0.392946,-0.292816,0.265034,2.691567,-1.411734,-0.096762
86,1769589273348,0.955567,88.2987,527.4897,-390.4516,0.519278,0.482727,-0.417601,0.568274,1.219740,1.133884,-0.980910,-0.394419,-0.287864,0.256694,2.513252,-1.559462,-0.152789,-0.392966,-0.292741,0.265090,2.691485,-1.411744,-0.096833
87,1769589273359,0.966678,88.3392,527.5093,-390.4187,0.519284,0.482709,-0.417605,0.568281,1.219749,1.133839,-0.980915,-0.394429,-0.287840,0.256707,2.513218,-1.559533,-0.152845,-0.393017,-0.292743,0.265110,2.691492,-1.411794,-0.096854
88,1769589273370,0.977789,88.2528,527.5183,-390.4622,0.519266,0.482720,-0.417564,0.568317,1.219688,1.133848,-0.980805,-0.394423,-0.287861,0.256691,2.513232,-1.559500,-0.152757,-0.392936,-0.292721,0.265119,2.691373,-1.411812,-0.096915
89,1769589273381,0.988900,88.2506,527.5034,-390.4446,0.519272,0.482692,-0.417605,0.568306,1.219709,1.133787,-0.980905,-0.394430,-0.287852,0.256697,2.513198,-1.559520,-0.152781,-0.392943,-0.292694,0.265104,2.691475,-1.411837,-0.096942
90,1769589273393,1.000012,88.2143,527.4771,-390.4447,0.519285,0.482710,-0.417578,0.568298,1.219745,1.133834,-0.980845,-0.394432,-0.287842,0.256689,2.513238,-1.559552,-0.152773,-0.392915,-0.292676,0.265078,2.691417,-1.411830,-0.096863
91,1769589273404,1.011123,88.2003,527.4534,-390.4367,0.519297,0.482704,-0.417577,0.568293,1.219773,1.133821,-0.980845,-0.394422,-0.287854,0.256672,2.513260,-1.559548,-0.152733,-0.392908,-0.292659,0.265054,2.691401,-1.411846,-0.096834
92,1769589273415,1.022234,88.2089,527.4995,-390.4573,0.519259,0.482716,-0.417581,0.568315,1.219674,1.133839,-0.980845,-0.394430,-0.287850,0.256687,2.513248,-1.559499,-0.152766,-0.392910,-0.292682,0.265101,2.691402,-1.411790,-0.096945
93,1769589273426,1.033345,88.2533,527.4626,-390.5180,0.519272,0.482689,-0.417614,0.568301,1.219712,1.133782,-0.980929,-0.394428,-0.287859,0.256683,2.513253,-1.559505,-0.152738,-0.392893,-0.292744,0.265060,2.691493,-1.411827,-0.096943
94,1769589273437,1.044456,88.2678,527.4684,-390.5308,0.519292,0.482699,-0.417625,0.568267,1.219777,1.133822,-0.980968,-0.394416,-0.287868,0.256712,2.513213,-1.559474,-0.152784,-0.392883,-0.292764,0.265064,2.691550,-1.411798,-0.096838
95,1769589273448,1.055568,88.2611,527.4742,-390.5273,0.519261,0.482703,-0.417615,0.568299,1.219688,1.133816,-0.980933,-0.394447,-0.287826,0.256704,2.513186,-1.559581,-0.152842,-0.392893,-0.292759,0.265072,2.691499,-1.411783,-0.096950
96,1769589273459,1.066679,88.3222,527.5245,-390.5196,0.519293,0.482690,-0.417601,0.568291,1.219767,1.133789,-0.980901,-0.394434,-0.287840,0.256678,2.513244,-1.559571,-0.152772,-0.392933,-0.292799,0.265122,2.691462,-1.411851,-0.096868
97,1769589273470,1.077790,88.3377,527.4911,-390.5227,0.519252,0.482712,-0.417615,0.568300,1.219665,1.133836,-0.980930,-0.394433,-0.287841,0.256692,2.513240,-1.559524,-0.152817,-0.392952,-0.292812,0.265089,2.691502,-1.411754,-0.096961
98,1769589273481,1.088902,88.2916,527.5140,-390.5361,0.519264,0.482714,-0.417601,0.568297,1.219696,1.133842,-0.980899,-0.394431,-0.287848,0.256686,2.513278,-1.559498,-0.152797,-0.392907,-0.292793,0.265111,2.691465,-1.411770,-0.096918
99,1769589273493,1.100013,88.3137,527.5317,-390.5159,0.519295,0.482716,-0.417594,0.568273,1.219780,1.133858,-0.980892,-0.394430,-0.287828,0.256685,2.513207,-1.559619,-0.152752,-0.392926,-0.292797,0.265129,2.691450,-1.411785,-0.096803
100,1769589273504,1.111124,88.3064,527.5184,-390.4828,0.519269,0.482785,-0.417549,0.568271,1.219720,1.134023,-0.980788,-0.394428,-0.287849,0.256705,2.513217,-1.559503,-0.152804,-0.392951,-0.292790,0.265119,2.691360,-1.411643,-0.096750
