FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
33,1769589431147,0.366671,87.8400,527.6611,-390.1704,0.519282,0.482686,-0.417877,0.568101,1.219838,1.133871,-0.981629,-0.394415,-0.287843,0.256707,2.513236,-1.559486,-0.152826,87.834748,527.638057,-390.138576,0.519280,0.482693,-0.417860,0.568111
34,1769589431158,0.377782,87.8981,527.6067,-390.1020,0.519280,0.482725,-0.417850,0.568090,1.219839,1.133966,-0.981571,-0.394439,-0.287820,0.256717,2.513149,-1.559586,-0.152872,87.904562,527.629162,-390.139624,0.519276,0.482716,-0.417868,0.568088
35,1769589431169,0.388893,87.9531,527.6145,-390.1234,0.519275,0.482720,-0.417872,0.568082,1.219830,1.133959,-0.981625,-0.394425,-0.287822,0.256689,2.513205,-1.559618,-0.152784,87.970295,527.633057,-390.114300,0.519276,0.482718,-0.417870,0.568084
36,1769589431181,0.400005,88.0145,527.6571,-390.1268,0.519267,0.482728,-0.417880,0.568077,1.219813,1.133981,-0.981646,-0.394428,-0.287826,0.256734,2.513126,-1.559550,-0.152881,87.998067,527.645376,-390.112838,0.519275,0.482711,-0.417871,0.568091
37,1769589431192,0.411116,88.0355,527.6796,-390.0941,0.519283,0.482675,-0.417866,0.568118,1.219831,1.133837,-0.981595,-0.394454,-0.287810,0.256711,2.513148,-1.559597,-0.152862,87.984552,527.664086,-390.133081,0.519273,0.482703,-0.417874,0.568097
38,1769589431203,0.422227,87.8892,527.6411,-390.1678,0.519272,0.482705,-0.417875,0.568096,1.219816,1.133918,-0.981625,-0.394440,-0.287817,0.256682,2.513175,-1.559646,-0.152757,87.930576,527.638352,-390.138495,0.519275,0.482706,-0.417870,0.568096
39,1769589431214,0.433338,87.8778,527.6163,-390.1458,0.519271,0.482725,-0.417861,0.568090,1.219818,1.133967,-0.981596,-0.394458,-0.287791,0.256703,2.513120,-1.559695,-0.152849,87.882490,527.605295,-390.138776,0.519275,0.482709,-0.417868,0.568095
40,1769589431225,0.444450,87.8458,527.5398,-390.1176,0.519279,0.482719,-0.417869,0.568082,1.219841,1.133956,-0.981617,-0.394453,-0.287799,0.256708,2.513117,-1.559681,-0.152855,87.869481,527.587033,-390.117538,0.519275,0.482717,-0.417864,0.568092
41,1769589431236,0.455561,87.9184,527.6097,-390.0960,0.519275,0.482700,-0.417864,0.568105,1.219820,1.133901,-0.981596,-0.394452,-0.287808,0.256736,2.513078,-1.559594,-0.152912,87.898767,527.588381,-390.099229,0.519280,0.482708,-0.417858,0.568099
42,1769589431247,0.466672,87.9275,527.6210,-390.0677,0.519285,0.482699,-0.417849,0.568109,1.219839,1.133897,-0.981560,-0.394455,-0.287809,0.256727,2.513094,-1.559605,-0.152891,87.918524,527.607476,-390.104343,0.519282,0.482700,-0.417865,0.568099
