FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
29,1769589272715,0.322226,-0.394423,-0.287871,0.256735,0.519277,0.482749,-0.417721,0.568167,1.219792,1.133987,-0.981236,-0.394423,-0.287871,0.256735,2.513149,-1.559414,-0.152822,-0.392909,-0.292902,0.265054,2.691844,-1.411504,-0.096706
30,1769589272726,0.333337,-0.394413,-0.287859,0.256692,0.519279,0.482722,-0.417718,0.56819,1.219784,1.133913,-0.981219,-0.394413,-0.287859,0.256692,2.513257,-1.55948,-0.152787,-0.392905,-0.292831,0.265087,2.691806,-1.411578,-0.09677
31,1769589272737,0.344449,-0.394419,-0.287871,0.256697,0.519278,0.482749,-0.417718,0.568169,1.219792,1.133985,-0.981227,-0.394419,-0.287871,0.256697,2.513248,-1.559444,-0.152758,-0.392974,-0.29288,0.265074,2.691829,-1.411507,-0.096706
32,1769589272748,0.35556,-0.394413,-0.287872,0.2567,0.5193,0.482779,-0.417693,0.568141,1.21986,1.134069,-0.981179,-0.394413,-0.287872,0.2567,2.513246,-1.559436,-0.152776,-0.392992,-0.292778,0.265107,2.6918,-1.411472,-0.096561
33,1769589272759,0.366671,-0.394424,-0.287869,0.25672,0.519284,0.482775,-0.417689,0.568162,1.21981,1.134049,-0.981163,-0.394424,-0.287869,0.25672,2.513206,-1.559416,-0.152843,-0.392943,-0.292755,0.265121,2.691761,-1.411475,-0.096635
34,1769589272770,0.377782,-0.394421,-0.287865,0.256692,0.519303,0.482786,-0.417673,0.568147,1.219863,1.134082,-0.981131,-0.394421,-0.287865,0.256692,2.513266,-1.559448,-0.152772,-0.392915,-0.292759,0.265067,2.691736,-1.411475,-0.096543
35,1769589272781,0.388894,-0.394413,-0.287871,0.256701,0.519305,0.482791,-0.417665,0.568147,1.219867,1.134095,-0.981111,-0.394413,-0.287871,0.256701,2.51327,-1.559414,-0.15277,-0.39292,-0.29276,0.265103,2.691737,-1.411485,-0.096527
36,1769589272793,0.400005,-0.394419,-0.287867,0.256739,0.519281,0.482777,-0.417687,0.568165,1.219802,1.134053,-0.981157,-0.394419,-0.287867,0.256739,2.513184,-1.55941,-0.152893,-0.392934,-0.292757,0.265138,2.691777,-1.411481,-0.096643
37,1769589272804,0.411116,-0.394413,-0.287875,0.256705,0.519278,0.482777,-0.417671,0.568179,1.219789,1.134048,-0.981113,-0.394413,-0.287875,0.256705,2.513231,-1.559426,-0.152766,-0.392943,-0.292753,0.265158,2.691729,-1.411502,-0.096661
38,1769589272815,0.422227,-0.394421,-0.287864,0.256716,0.519292,0.482798,-0.417651,0.568164,1.219828,1.134102,-0.981072,-0.394421,-0.287864,0.256716,2.51322,-1.559426,-0.152854,-0.39291,-0.292749,0.265105,2.69168,-1.411473,-0.09657
