X_mm,Y_mm,Z_mm
150.7743,506.7947,-439.7938
150.8261,506.7727,-439.4614
150.8760,506.7553,-439.1282
150.9233,506.7408,-438.7946
150.9670,506.7299,-438.4606
151.0015,506.7281,-438.1259
151.0226,506.7398,-437.7903
151.0358,506.7597,-437.4542
151.0480,506.7822,-437.1181
151.0611,506.8067,-436.7822
151.0754,506.8329,-436.4465
151.0899,506.8596,-436.1108
151.1034,506.8845,-435.7750
151.1145,506.9060,-435.4390
151.1240,506.9251,-435.1027
151.1337,506.9450,-434.7666
151.1471,506.9719,-434.4314
151.1667,507.0109,-434.0976
151.1906,507.0574,-433.7648
151.2158,507.1036,-433.4321
151.2417,507.1445,-433.0987
151.2682,507.1788,-432.7648
151.2958,507.2052,-432.4313
151.3264,507.2072,-432.1013
151.3634,507.1586,-431.7792
151.4056,507.0652,-431.4641
151.4457,506.9741,-431.1476
151.4772,506.9259,-430.8223
151.5008,506.9155,-430.4896
151.5170,506.9210,-430.1544
151.5170,506.9343,-429.8194
151.4946,506.9556,-429.4853
151.4604,506.9811,-429.1517
151.4289,507.0063,-428.8179
151.4098,507.0283,-428.4832
151.4047,507.0466,-428.1476
151.4095,507.0615,-427.8119
151.4300,507.0681,-427.4775
151.4751,507.0611,-427.1457
151.5336,507.0462,-426.8152
151.5827,507.0342,-426.4836
151.6095,507.0308,-426.1494
151.6245,507.0270,-425.8152
151.6462,506.9958,-425.4891
151.6870,506.9071,-425.1801
151.7432,506.7743,-424.8857
151.7955,506.6638,-424.5909
151.8273,506.6383,-424.2834
151.8399,506.6908,-423.9645
151.8457,506.7708,-423.6403
151.8532,506.8402,-423.3123
151.8651,506.8856,-422.9801
151.8797,506.9144,-422.6456
151.8955,506.9278,-422.3107
151.9125,506.9179,-421.9762
151.9303,506.8898,-421.6418
151.9483,506.8572,-421.3075
151.9658,506.8340,-420.9728
151.9826,506.8290,-420.6374
151.9992,506.8370,-420.3015
152.0162,506.8508,-419.9656
152.0346,506.8703,-419.6301
152.0546,506.8954,-419.2949
152.0751,506.9227,-418.9599
152.0947,506.9488,-418.6248
152.1117,506.9708,-418.2892
152.1261,506.9886,-417.9533
152.1400,507.0068,-417.6175
152.1580,507.0365,-417.2834
152.1835,507.0869,-416.9523
152.2140,507.1509,-416.6232
152.2442,507.2116,-416.2941
152.2677,507.2482,-415.9630
152.2813,507.2493,-415.6290
152.2873,507.2287,-415.2936
152.2856,507.1981,-414.9586
152.2744,507.1591,-414.6245
152.2607,507.1172,-414.2908
152.2569,507.0807,-413.9567
152.2694,507.0534,-413.6217
152.2884,507.0293,-413.2868
152.2953,506.9950,-412.9537
152.2768,506.9406,-412.6243
