X_mm,Y_mm,Z_mm
136.8384,506.8454,-512.2906
136.9119,506.8513,-511.9682
136.9651,506.8737,-511.6421
137.0234,506.9036,-511.3194
137.1211,506.9340,-511.0110
137.2644,506.9625,-510.7185
137.4110,506.9868,-510.4266
137.5180,507.0043,-510.1192
137.5869,507.0141,-509.7972
137.6457,507.0108,-509.4716
137.7164,506.9805,-509.1512
137.8039,506.9201,-508.8380
137.8995,506.8506,-508.5277
137.9943,506.8022,-508.2148
138.0852,506.7901,-507.8969
138.1742,506.7985,-507.5763
138.2658,506.8062,-507.2565
138.3677,506.7966,-506.9413
138.4823,506.7618,-506.6320
138.5954,506.7149,-506.3229
138.6926,506.6705,-506.0081
138.7771,506.6383,-505.6896
138.8551,506.6440,-505.3729
138.9290,506.7045,-505.0606
139.0070,506.7826,-504.7496
139.0973,506.8374,-504.4364
139.1956,506.8692,-504.1205
139.2886,506.8904,-503.8016
139.3676,506.9058,-503.4784
139.4372,506.9183,-503.1525
139.5060,506.9305,-502.8264
139.5787,506.9440,-502.5011
139.6560,506.9583,-502.1770
139.7356,506.9698,-501.8533
139.8161,506.9728,-501.5299
139.8969,506.9658,-501.2065
139.9765,506.9511,-500.8830
140.0524,506.9276,-500.5593
140.1240,506.8950,-500.2355
140.1953,506.8635,-499.9123
140.2748,506.8575,-499.5928
140.3688,506.8950,-499.2793
140.4713,506.9576,-498.9694
140.5753,507.0197,-498.6593
140.6777,507.0639,-498.3466
140.7780,507.0841,-498.0303
140.8770,507.0909,-497.7121
140.9746,507.0926,-497.3932
141.0682,507.0871,-497.0734
141.1556,507.0720,-496.7521
141.2348,507.0547,-496.4292
141.2995,507.0461,-496.1034
141.3483,507.0519,-495.7748
141.3985,507.0722,-495.4472
141.4672,507.1078,-495.1244
141.5515,507.1513,-494.8059
141.6430,507.1836,-494.4901
141.7403,507.1772,-494.1785
141.8439,507.1232,-493.8714
141.9494,507.0498,-493.5662
142.0498,506.9992,-493.2582
142.1397,506.9989,-492.9446
142.2215,507.0351,-492.6266
142.3002,507.0729,-492.3074
142.3776,507.0785,-491.9886
142.4536,507.0388,-491.6708
142.5285,506.9775,-491.3531
142.6020,506.9281,-491.0340
142.6729,506.9116,-490.7120
142.7414,506.9226,-490.3873
142.8075,506.9417,-490.0612
142.8700,506.9565,-489.7340
142.9297,506.9654,-489.4060
142.9911,506.9720,-489.0783
143.0584,506.9793,-488.7517
143.1305,506.9874,-488.4261
143.2038,506.9942,-488.1007
143.2761,506.9978,-487.7751
143.3474,506.9988,-487.4492
143.4187,506.9986,-487.1233
143.4913,506.9976,-486.7977
143.5656,506.9957,-486.4724
143.6422,506.9934,-486.1478
143.7260,506.9907,-485.8252
143.8221,506.9876,-485.5061
143.9256,506.9844,-485.1892
144.0262,506.9816,-484.8717
144.1106,506.9807,-484.5503
144.1723,506.9823,-484.2236
144.2226,506.9850,-483.8941
144.2760,506.9865,-483.5650
144.3386,506.9854,-483.2375
144.4068,506.9826,-482.9110
144.4758,506.9778,-482.5846
144.5441,506.9700,-482.2582
144.6112,506.9587,-481.9318
144.6751,506.9380,-481.6058
144.7325,506.8988,-481.2810
144.7838,506.8442,-480.9573
144.8346,506.7975,-480.6345
144.8905,506.7893,-480.3126
144.9528,506.8263,-479.9916
145.0184,506.8834,-479.6709
145.0840,506.9312,-479.3488
145.1488,506.9538,-479.0241
145.2126,506.9555,-478.6975
145.2746,506.9437,-478.3705
