FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
36,1769589508947,0.400006,104.7903,537.2615,-392.1763,0.505999,0.501707,-0.477877,0.513701,1.216451,1.206131,-1.148842,-0.39294,-0.292731,0.265087,2.69142,-1.411798,-0.096757,104.791781,537.255371,-392.186143,0.505965,0.501747,-0.477849,0.513720
37,1769589508958,0.411117,104.8452,537.2267,-392.2213,0.505945,0.501782,-0.477818,0.513737,1.2163,1.206293,-1.148683,-0.392948,-0.292729,0.265103,2.69137,-1.411829,-0.096805,104.852424,537.235990,-392.181581,0.505952,0.501757,-0.477841,0.513731
38,1769589508969,0.422228,104.8865,537.2417,-392.1308,0.505934,0.501785,-0.477804,0.513756,1.216265,1.206292,-1.148642,-0.392961,-0.292713,0.265111,2.691314,-1.411873,-0.096867,104.900743,537.218776,-392.199062,0.505933,0.501768,-0.477824,0.513755
39,1769589508980,0.43334,104.9968,537.1656,-392.2282,0.505917,0.501756,-0.477839,0.513769,1.216218,1.206215,-1.148719,-0.39296,-0.292707,0.265116,2.691315,-1.411881,-0.096792,104.914181,537.165762,-392.231895,0.505933,0.501758,-0.477815,0.513774
40,1769589508991,0.444451,104.8658,537.1267,-392.3004,0.505938,0.501721,-0.477811,0.51381,1.216246,1.206108,-1.14863,-0.392969,-0.292703,0.265116,2.691314,-1.4119,-0.096868,104.918686,537.132548,-392.234300,0.505947,0.501729,-0.477810,0.513792
41,1769589509002,0.455562,104.8992,537.0687,-392.2091,0.506005,0.501708,-0.477786,0.513779,1.216422,1.206094,-1.148586,-0.392971,-0.292689,0.265128,2.691283,-1.411931,-0.096873,104.932186,537.083210,-392.206190,0.505974,0.501726,-0.477775,0.513802
42,1769589509013,0.466673,104.9731,537.1259,-392.1267,0.505957,0.501733,-0.477748,0.513838,1.216277,1.206123,-1.148465,-0.392977,-0.292691,0.265122,2.691283,-1.411931,-0.096874,104.944314,537.099686,-392.158443,0.505975,0.501726,-0.477750,0.513824
43,1769589509024,0.477785,105.0163,537.0793,-392.0681,0.505995,0.501751,-0.477714,0.513814,1.216381,1.206178,-1.148394,-0.392969,-0.292702,0.265127,2.691317,-1.411865,-0.096885,105.016662,537.135090,-392.103957,0.505971,0.501724,-0.477757,0.513824
44,1769589509035,0.488896,105.0091,537.2502,-392.1618,0.505912,0.501692,-0.47781,0.513864,1.216155,1.206012,-1.148602,-0.392973,-0.2927,0.265131,2.691265,-1.411923,-0.096884,105.018219,537.203648,-392.100543,0.505946,0.501706,-0.477784,0.513840
45,1769589509047,0.500007,105.0526,537.2377,-392.0765,0.505966,0.501681,-0.477831,0.513802,1.216317,1.206017,-1.148683,-0.39296,-0.292706,0.265121,2.691325,-1.411856,-0.096828,105.000062,537.253762,-392.110000,0.505945,0.501685,-0.477820,0.513829
46,1769589509058,0.511118,104.8906,537.3203,-392.1403,0.505915,0.501664,-0.477836,0.513865,1.216161,1.205942,-1.148663,-0.392966,-0.292699,0.265119,2.691323,-1.411897,-0.096858,104.957410,537.289962,-392.132557,0.505928,0.501673,-0.477833,0.513846
47,1769589509069,0.52223,104.9436,537.289,-392.1358,0.505943,0.501688,-0.477823,0.513825,1.21625,1.206021,-1.148652,-0.392966,-0.2927,0.265089,2.691345,-1.411932,-0.096741,104.902238,537.308824,-392.153310,0.505911,0.501694,-0.477803,0.513870
48,1769589509080,0.533341,104.8493,537.3055,-392.1982,0.505889,0.501687,-0.477794,0.513907,1.216077,1.205976,-1.148542,-0.392969,-0.292691,0.265095,2.691353,-1.411963,-0.096782,104.852838,537.349600,-392.192557,0.505931,0.501658,-0.477848,0.513843
49,1769589509091,0.544464,104.8242,537.4108,-392.208,0.505888,0.501685,-0.477835,0.513871,1.216094,1.205991,-1.148658,-0.392982,-0.292697,0.265118,2.691304,-1.411966,-0.09681,104.845019,537.359314,-392.160305,0.505904,0.501628,-0.477898,0.513853
50,1769589509102,0.555575,104.8549,537.3688,-392.146,0.506018,0.501531,-0.47803,0.513712,1.21649,1.205702,-1.149206,-0.392971,-0.292704,0.265121,2.691348,-1.41189,-0.096779,104.860248,537.356510,-392.164595,0.505878,0.501662,-0.477889,0.513854
51,1769589509113,0.566686,104.8868,537.2938,-392.0562,0.505761,0.501722,-0.477819,0.513974,1.215735,1.206025,-1.148569,-0.392985,-0.292698,0.265144,2.691275,-1.411928,-0.096852,104.899176,537.309343,-392.146881,0.505910,0.501738,-0.477789,0.513840
52,1769589509124,0.577798,104.9796,537.2418,-392.2251,0.505976,0.501913,-0.477597,0.513784,1.21635,1.206584,-1.148129,-0.392997,-0.29269,0.265141,2.691268,-1.411943,-0.096835,104.930329,537.242500,-392.117076,0.506004,0.501791,-0.477689,0.513789
53,1769589509135,0.588909,104.8923,537.1932,-392.0745,0.506148,0.501845,-0.477498,0.513772,1.216772,1.206427,-1.147897,-0.392993,-0.292679,0.265126,2.691305,-1.412006,-0.096802,104.899800,537.222457,-392.076986,0.506099,0.501834,-0.477560,0.513773
54,1769589509147,0.60002,104.8914,537.2125,-391.9933,0.506255,0.501714,-0.477667,0.513637,1.217098,1.206182,-1.148371,-0.393018,-0.292664,0.265147,2.691209,-1.412051,-0.096882,104.882871,537.190733,-392.010252,0.506189,0.501796,-0.477555,0.513726
55,1769589509158,0.611131,104.7927,537.2222,-391.9516,0.506123,0.501772,-0.477517,0.51385,1.21667,1.206211,-1.147903,-0.393016,-0.292663,0.265137,2.691241,-1.412054,-0.096856,104.868910,537.183452,-391.977129,0.506106,0.501797,-0.477540,0.513821
56,1769589509169,0.622242,104.9525,537.1085,-391.9733,0.505974,0.501796,-0.477626,0.513872,1.216301,1.206256,-1.148154,-0.393009,-0.292667,0.265139,2.691278,-1.411972,-0.096872,104.890576,537.182248,-392.027376,0.506031,0.501756,-0.477626,0.513855
57,1769589509180,0.633354,104.9161,537.2189,-392.1886,0.505886,0.501828,-0.477568,0.513982,1.216029,1.206276,-1.14796,-0.393016,-0.292653,0.265111,2.691282,-1.412074,-0.096808,104.910233,537.180662,-392.090395,0.505969,0.501697,-0.477725,0.513881
58,1769589509191,0.644465,104.9156,537.1908,-392.1401,0.506081,0.501462,-0.478019,0.513728,1.216633,1.205528,-1.149172,-0.393021,-0.292644,0.265142,2.691218,-1.412095,-0.096861,104.934319,537.188676,-392.167714,0.505959,0.501620,-0.477845,0.513854
59,1769589509202,0.655576,104.9273,537.2012,-392.1653,0.505962,0.501569,-0.477903,0.513848,1.216283,1.205725,-1.148834,-0.393035,-0.292647,0.265171,2.691134,-1.41205,-0.09686,104.937410,537.206771,-392.190843,0.505987,0.501586,-0.477863,0.513844
60,1769589509213,0.666688,104.9418,537.1897,-392.2332,0.505962,0.501646,-0.477774,0.513893,1.21626,1.205886,-1.1485,-0.393037,-0.292641,0.265181,2.691155,-1.411992,-0.096934,104.941295,537.182471,-392.196567,0.506006,0.501589,-0.477842,0.513842
61,1769589509224,0.677799,104.9732,537.1721,-392.1492,0.506037,0.501683,-0.477686,0.513865,1.216455,1.205989,-1.148304,-0.393039,-0.292633,0.265142,2.69121,-1.412037,-0.096837,104.903819,537.167952,-392.193238,0.506004,0.501665,-0.477719,0.513884
62,1769589509235,0.68891,104.8564,537.1526,-392.228,0.506037,0.501631,-0.477734,0.513871,1.216452,1.205861,-1.148415,-0.393046,-0.29263,0.265161,2.691206,-1.411981,-0.096925,104.900381,537.164419,-392.160324,0.506050,0.501658,-0.477698,0.513865
63,1769589509247,0.700021,104.8561,537.1641,-392.0593,0.50609,0.501646,-0.477697,0.513839,1.216596,1.205914,-1.148341,-0.393058,-0.292597,0.265172,2.691177,-1.412037,-0.096947,104.939062,537.173895,-392.095995,0.506067,0.501628,-0.477728,0.513850
64,1769589509258,0.711132,105.0702,537.2229,-392.0736,0.506085,0.5016,-0.477755,0.513834,1.216587,1.205807,-1.148484,-0.393057,-0.292605,0.265171,2.691185,-1.412014,-0.096968,105.000895,537.207995,-392.080881,0.506083,0.501607,-0.477746,0.513837
65,1769589509269,0.722243,105.122,537.234,-392.035,0.50609,0.501589,-0.477775,0.513822,1.216604,1.205786,-1.148539,-0.393045,-0.292599,0.265155,2.691207,-1.412048,-0.096884,105.096105,537.248352,-392.066162,0.506137,0.501611,-0.477726,0.513799
66,1769589509280,0.733354,105.117,537.2944,-392.1475,0.506205,0.501625,-0.47768,0.513761,1.216913,1.205903,-1.148341,-0.393057,-0.292584,0.265152,2.691166,-1.412104,-0.096834,105.161586,537.279562,-392.092005,0.506203,0.501610,-0.477709,0.513751
67,1769589509291,0.744466,105.1575,537.2889,-392.1053,0.506286,0.501627,-0.477663,0.513696,1.217143,1.205942,-1.148332,-0.393069,-0.292574,0.265137,2.691183,-1.412131,-0.096866,105.135671,537.289124,-392.111081,0.506239,0.501606,-0.477697,0.513730
68,1769589509302,0.755577,105.1435,537.2901,-392.11,0.506276,0.501595,-0.477701,0.513702,1.217116,1.205862,-1.148419,-0.393069,-0.292566,0.265141,2.691166,-1.412164,-0.096834,105.107619,537.287757,-392.150290,0.506258,0.501610,-0.477683,0.513721
69,1769589509313,0.766688,105.0158,537.2691,-392.1872,0.506162,0.501577,-0.477739,0.513796,1.216792,1.20577,-1.148463,-0.393067,-0.292563,0.265123,2.691182,-1.412174,-0.096756,105.069152,537.275219,-392.171962,0.506224,0.501597,-0.477704,0.513748
