,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1237,1776147901688,13.745774,-453.803,62.954,418.786,-0.169236,0.734783,-0.601194,0.264611,-0.457329,1.985615,-1.624616,-0.453803,0.062954,0.418786,0.996756,2.342552,0.004313
1238,1776147901699,13.756885,-453.796,63.002,418.769,-0.169234,0.734655,-0.601295,0.26474,-0.457294,1.985137,-1.624781,-0.453796,0.063002,0.418769,0.996919,2.342338,0.004167
1239,1776147901710,13.767996,-453.782,63.081,418.758,-0.169126,0.734188,-0.601704,0.265172,-0.456902,1.983438,-1.625528,-0.453782,0.063081,0.418758,0.997093,2.342131,0.003865
1240,1776147901722,13.779108,-453.79,63.131,418.721,-0.169209,0.73459,-0.601301,0.264921,-0.457184,1.98478,-1.624647,-0.45379,0.063131,0.418721,0.997132,2.341932,0.003812
1241,1776147901733,13.790219,-453.772,63.173,418.721,-0.169254,0.734421,-0.601415,0.265102,-0.457263,1.984138,-1.624806,-0.453772,0.063173,0.418721,0.997234,2.341768,0.003599
1242,1776147901744,13.80133,-453.77,63.292,418.69,-0.169095,0.734673,-0.601184,0.26503,-0.45685,1.984892,-1.624241,-0.45377,0.063292,0.41869,0.997497,2.341472,0.003378
1243,1776147901755,13.812442,-453.77,63.355,418.657,-0.169162,0.734797,-0.601049,0.264951,-0.457048,1.985307,-1.623942,-0.45377,0.063355,0.418657,0.997624,2.341234,0.003188
1244,1776147901766,13.823553,-453.764,63.464,418.629,-0.168995,0.734976,-0.600838,0.265038,-0.456577,1.985705,-1.623299,-0.453764,0.063464,0.418629,0.997971,2.34085,0.003089
1245,1776147901777,13.834664,-453.762,63.512,418.613,-0.169054,0.734507,-0.601243,0.265383,-0.456657,1.984085,-1.624107,-0.453762,0.063512,0.418613,0.998055,2.340669,0.002988
1246,1776147901788,13.845775,-453.753,63.575,418.605,-0.169046,0.734378,-0.601319,0.265571,-0.456593,1.983546,-1.624157,-0.453753,0.063575,0.418605,0.998228,2.34049,0.002868
1247,1776147901799,13.856886,-453.75,63.671,418.551,-0.169297,0.734529,-0.600981,0.265757,-0.457227,1.983768,-1.62309,-0.45375,0.063671,0.418551,0.998328,2.340082,0.002695
1248,1776147901810,13.867998,-453.748,63.715,418.545,-0.169076,0.734258,-0.601241,0.266061,-0.456559,1.982726,-1.623538,-0.453748,0.063715,0.418545,0.998446,2.339901,0.002695
1249,1776147901822,13.879109,-453.748,63.804,418.512,-0.169109,0.734389,-0.601016,0.266187,-0.456618,1.982952,-1.622828,-0.453748,0.063804,0.418512,0.998713,2.339604,0.00264
1250,1776147901833,13.89022,-453.748,63.929,418.458,-0.169159,0.73427,-0.601119,0.266251,-0.456737,1.982566,-1.623051,-0.453748,0.063929,0.418458,0.998966,2.339103,0.002494
1251,1776147901844,13.901331,-453.747,63.988,418.429,-0.16917,0.733931,-0.601329,0.266705,-0.456662,1.981192,-1.623242,-0.453747,0.063988,0.418429,0.999009,2.338862,0.00237
1252,1776147901855,13.912443,-453.747,64.112,418.366,-0.169201,0.734,-0.601127,0.266948,-0.456688,1.981133,-1.622496,-0.453747,0.064112,0.418366,0.999315,2.338262,0.002312
1253,1776147901866,13.923554,-453.736,64.214,418.363,-0.169268,0.734042,-0.601026,0.267017,-0.456853,1.981176,-1.622167,-0.453736,0.064214,0.418363,0.999571,2.338021,0.002216
1254,1776147901877,13.934665,-453.752,64.261,418.307,-0.169245,0.733975,-0.601061,0.267138,-0.456763,1.980874,-1.622161,-0.453752,0.064261,0.418307,0.999517,2.337692,0.00218
1255,1776147901888,13.945776,-453.733,64.398,418.283,-0.169107,0.733995,-0.601042,0.267214,-0.456372,1.980849,-1.622048,-0.453733,0.064398,0.418283,0.999817,2.337171,0.002045
1256,1776147901899,13.956888,-453.735,64.464,418.228,-0.169242,0.733843,-0.600938,0.26778,-0.456607,1.979867,-1.621297,-0.453735,0.064464,0.418228,1.000022,2.336719,0.002108
