XToGlobal1	YToGlobal1	ZToGlobal1
303.756714	-1144.223145	1244.182129
300.855896	-1142.338013	1244.025391
298.032196	-1140.45874	1244.615967
294.964844	-1138.458252	1244.799927
291.96582	-1136.504517	1245.450439
288.861481	-1134.714478	1245.804932
285.872498	-1132.968384	1246.091797
282.789734	-1131.219238	1246.44165
279.748718	-1129.444458	1246.483154
276.71759	-1127.548462	1247.088745
273.561157	-1125.967529	1247.290161
270.412292	-1124.04126	1247.682617
267.323547	-1122.252686	1247.901611
264.037964	-1120.76123	1247.924194
260.885559	-1118.877686	1248.352905
257.546722	-1117.099243	1248.397217
254.284164	-1115.466919	1248.843872
250.98494	-1113.711792	1249.262085
247.686554	-1111.961914	1249.419067
244.299637	-1110.180542	1249.439697
240.972809	-1108.431152	1250.031128
237.366226	-1106.594238	1249.925415
234.024612	-1104.844238	1249.985352
230.558258	-1102.579834	1250.0979
227.131348	-1100.741699	1250.395508
223.66806	-1098.899536	1250.430176
220.167313	-1096.968872	1250.43689
216.697449	-1094.887451	1250.491699
213.10936	-1093.002197	1250.529175
209.557175	-1091.03894	1250.547974
205.920822	-1088.82312	1250.556274
202.408051	-1086.727783	1250.707764
198.719818	-1084.525879	1250.640747
195.19696	-1082.214844	1250.606812
191.442566	-1079.404175	1250.575684
187.721954	-1077.0896	1250.274658
183.955231	-1074.539185	1250.216797
180.053299	-1072.167969	1249.63208
176.287003	-1069.52478	1249.569702
172.261414	-1066.915771	1248.635742
168.383133	-1064.070435	1248.590332
164.216034	-1061.400269	1247.592163
160.050247	-1058.63855	1247.082153
155.991272	-1055.812866	1246.28894
151.705795	-1052.944336	1245.760742
147.562881	-1050.144287	1244.940796
143.132584	-1047.305176	1243.957764
138.704697	-1044.514282	1242.704224
134.219818	-1041.69165	1242.072876
129.746399	-1038.842896	1240.802124
124.98304	-1036.069946	1240.276367
120.725807	-1033.450928	1238.841431
116.212799	-1030.911499	1238.157227
111.727432	-1028.498169	1236.67041
107.182556	-1026.062012	1235.600952
102.764389	-1023.867371	1234.657959
98.299004	-1021.661926	1233.530151
93.867676	-1019.554077	1232.436279
89.582954	-1017.70752	1231.2948
85.377922	-1015.785217	1230.432739
81.147102	-1014.0672	1229.550171
76.933929	-1012.20459	1228.396484
72.843323	-1010.639099	1227.380493
68.638367	-1009.214233	1226.504883
64.81543	-1007.781372	1225.595459
60.919041	-1006.496765	1224.481812
57.27459	-1005.318909	1223.377686
53.595654	-1004.13562	1222.550171
49.842934	-1002.904846	1221.889038
46.262249	-1001.955444	1220.884888
42.937843	-1001.202454	1220.227661
39.614086	-1000.426453	1219.310059
36.40361	-999.73291	1218.620483
33.286358	-999.303528	1217.758423
30.036957	-998.555664	1217.110107
26.982052	-998.242126	1216.364258
24.107086	-997.884277	1215.46814
21.270851	-997.323425	1215.358398
18.490976	-996.9729	1214.649414
15.79295	-996.696106	1214.198486
13.064708	-996.359863	1213.593628
10.523001	-996.081482	1213.429199
7.97227	-995.83905	1212.80249
5.500386	-995.678772	1212.617554
3.117317	-995.599731	1212.194702
0.810233	-995.253052	1211.778564
-1.423636	-995.154541	1211.723999
-3.715475	-994.998962	1211.104858
-5.728016	-994.99176	1211.155884
-7.879799	-994.946838	1210.553711
-9.992108	-994.653687	1210.403687
-11.983523	-994.530823	1209.923706
-13.719656	-994.568665	1209.895874
-15.649396	-994.349243	1209.368286
-17.526476	-994.419983	1209.478882
-19.183475	-994.333984	1209.248657
-20.996689	-994.475098	1208.705933
-22.591051	-994.175537	1208.687012
-24.16065	-994.28479	1208.611572
-25.988115	-994.113464	1208.567871
-27.284801	-994.262024	1208.2677
-28.826811	-994.24353	1207.828003
-30.222233	-994.191772	1207.932983
-31.606119	-994.261047	1208.03186
-33.055489	-994.248718	1207.468262
-34.21117	-994.038208	1207.562744
-35.633732	-994.379517	1207.435547
-36.997375	-994.162598	1207.530396
-38.334911	-994.088806	1207.507812
-39.927708	-994.144287	1207.481079
-41.080368	-994.365051	1206.922485
-42.240318	-994.292725	1207.003906
-43.583935	-994.36322	1206.550903
-44.755455	-994.262573	1206.737549
-45.889061	-994.283691	1206.618042
-47.040951	-994.445435	1206.244629
-48.120155	-994.291992	1206.097656
-48.973995	-994.348572	1205.961304
-50.336273	-994.250122	1205.906006
-51.090267	-994.488464	1205.634277
-52.300072	-994.553711	1205.501221
-53.347916	-994.457092	1205.443481
-54.474304	-994.883545	1205.234131
-55.497803	-995.019714	1204.872681
-56.309086	-995.150513	1204.742554
-57.452248	-995.177185	1204.634155
-58.560658	-995.362305	1204.565918
-59.863567	-995.388672	1204.678955
-60.590351	-995.357178	1204.718872
-61.462433	-995.594116	1204.66272
-62.305931	-995.720459	1204.714966
-63.421085	-996.115845	1204.547241
-64.169853	-996.301392	1204.352539
-64.905815	-996.362915	1204.41333
-65.23777	-996.472534	1204.331787
-66.077118	-996.436462	1204.446045
-66.369263	-996.7052	1204.49585
-67.247078	-997.050049	1204.289673
-67.362709	-996.949036	1204.370117
-67.865311	-996.997192	1204.379883
-68.159378	-997.142944	1204.259644
-68.547577	-997.27002	1204.331299
-68.916183	-997.288452	1204.370728
-68.916183	-997.288452	1204.370728
-69.085358	-997.471558	1204.011841
-69.400261	-997.5	1203.982666
