FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
112,1769517771329,1.244459,7.6762,458.6584,-245.5966,0.701408,0.291702,-0.265454,0.593693,1.630254,0.67799,-0.616984,-0.445061,-0.174492,0.196735,2.034749,-2.36188,0.138971,-0.449269,-0.17676,0.197064,-2.113909,2.283007,-0.208589
113,1769517771340,1.25557,7.4123,458.6855,-245.5709,0.701334,0.291354,-0.265721,0.593832,1.629987,0.677144,-0.617568,-0.445011,-0.174329,0.196733,2.034788,-2.361829,0.138929,-0.449062,-0.176453,0.197066,-2.113274,2.282791,-0.206613
114,1769517771351,1.266681,7.1678,458.5736,-245.3971,0.701253,0.291633,-0.265551,0.593867,1.629777,0.677782,-0.617165,-0.444966,-0.174171,0.19672,2.034859,-2.361721,0.138943,-0.449052,-0.176225,0.196958,-2.113936,2.282974,-0.207681
115,1769517771362,1.277792,6.8628,458.6307,-245.1501,0.70141,0.291337,-0.265778,0.593725,1.630237,0.677133,-0.61773,-0.444868,-0.173772,0.196688,2.034736,-2.361825,0.13906,-0.448868,-0.175781,0.197012,-2.113201,2.282603,-0.206659
116,1769517771373,1.288904,6.6799,458.6389,-244.964,0.701586,0.2913,-0.265698,0.593571,1.630748,0.67709,-0.617583,-0.444829,-0.173566,0.196692,2.034685,-2.361843,0.138967,-0.448791,-0.175559,0.197027,-2.112898,2.282693,-0.207235
117,1769517771385,1.300015,6.464,458.6523,-244.7332,0.701305,0.291561,-0.265306,0.59395,1.629842,0.677591,-0.616576,-0.444749,-0.173188,0.196662,2.034629,-2.361855,0.138994,-0.448938,-0.175298,0.19705,-2.113552,2.283623,-0.208127
118,1769517771396,1.311126,6.1854,458.493,-244.6577,0.701566,0.291154,-0.265578,0.59372,1.630602,0.67671,-0.617264,-0.44471,-0.172993,0.19666,2.034576,-2.361868,0.13894,-0.448646,-0.17499,0.196874,-2.112475,2.283176,-0.206944
119,1769517771407,1.322237,5.9724,458.4427,-244.5482,0.701459,0.291287,-0.265624,0.593761,1.630325,0.677007,-0.617361,-0.444662,-0.172846,0.196659,2.034685,-2.361723,0.138934,-0.448587,-0.174769,0.196819,-2.112933,2.283003,-0.206971
120,1769517771418,1.333348,5.8339,458.4603,-244.2612,0.701516,0.291279,-0.265599,0.593708,1.630495,0.677004,-0.617317,-0.44458,-0.172448,0.196601,2.034669,-2.36176,0.138939,-0.44864,-0.174472,0.196854,-2.112846,2.283025,-0.20717
121,1769517771429,1.34446,5.5554,458.462,-244.1522,0.701622,0.291127,-0.265429,0.593734,1.630723,0.676643,-0.616916,-0.444553,-0.172231,0.19661,2.034498,-2.361794,0.138905,-0.448484,-0.174226,0.196847,-2.112261,2.28353,-0.207344
122,1769517771440,1.355571,5.2688,458.3177,-243.9617,0.701497,0.291012,-0.265915,0.59372,1.630443,0.67638,-0.618048,-0.444437,-0.1718,0.196519,2.034692,-2.361751,0.139021,-0.448361,-0.173778,0.196693,-2.112398,2.282551,-0.205527
123,1769517771451,1.366682,5.0306,458.3903,-243.8335,0.701491,0.290911,-0.265751,0.59385,1.630342,0.676108,-0.617635,-0.444389,-0.171585,0.196516,2.034659,-2.361749,0.138972,-0.44828,-0.173532,0.19676,-2.112045,2.283078,-0.205526
124,1769517771462,1.377793,4.6105,458.3302,-243.4564,0.701757,0.29083,-0.265749,0.593576,1.631144,0.675997,-0.617699,-0.444353,-0.17135,0.19652,2.034612,-2.361689,0.138922,-0.4481,-0.173008,0.196709,-2.111601,2.282946,-0.206053
125,1769517771473,1.388904,4.3466,458.2564,-243.2937,0.701676,0.290793,-0.265928,0.59361,1.630932,0.6759,-0.618107,-0.444254,-0.170907,0.196485,2.034572,-2.361723,0.138881,-0.448005,-0.172665,0.196628,-2.111695,2.282609,-0.205297
126,1769517771485,1.400015,3.9958,458.2427,-242.9396,0.701569,0.290801,-0.265673,0.593847,1.630525,0.675855,-0.617454,-0.444211,-0.170691,0.196489,2.034504,-2.36171,0.138829,-0.448041,-0.172186,0.196623,-2.111649,2.28333,-0.205558
127,1769517771496,1.411126,3.7606,458.3517,-242.8306,0.701667,0.290977,-0.265562,0.593695,1.630854,0.676305,-0.617234,-0.444169,-0.170474,0.196488,2.034494,-2.361661,0.138805,-0.447897,-0.172026,0.19673,-2.111931,2.283328,-0.206684
128,1769517771507,1.422238,3.4865,458.2997,-242.6842,0.701728,0.290769,-0.265569,0.593721,1.630978,0.675816,-0.617244,-0.444072,-0.170037,0.196456,2.034481,-2.361678,0.138754,-0.44776,-0.171707,0.196671,-2.11136,2.28349,-0.206153
129,1769517771518,1.433349,3.1667,458.337,-242.4866,0.701707,0.290774,-0.265549,0.593752,1.630909,0.675818,-0.61719,-0.444023,-0.169829,0.196445,2.034534,-2.361601,0.138722,-0.447644,-0.171353,0.196704,-2.111378,2.283552,-0.20615
130,1769517771529,1.44446,3.0311,458.354,-242.2534,0.701721,0.290806,-0.265543,0.593723,1.630962,0.6759,-0.617182,-0.44391,-0.169408,0.196422,2.034523,-2.361563,0.138819,-0.447678,-0.171097,0.196733,-2.111443,2.283521,-0.206312
131,1769517771540,1.455572,2.78,458.2186,-242.1347,0.701787,0.29065,-0.265578,0.593705,1.631127,0.675543,-0.617268,-0.443863,-0.169194,0.19643,2.034437,-2.361543,0.138798,-0.447544,-0.17082,0.19659,-2.111015,2.28355,-0.20591
132,1769517771551,1.466683,2.4915,458.2128,-242.0327,0.701715,0.29074,-0.265528,0.593769,1.630916,0.675733,-0.617137,-0.443801,-0.16897,0.196402,2.034436,-2.361596,0.138858,-0.44742,-0.17057,0.196574,-2.111274,2.283637,-0.206105
133,1769517771562,1.477794,2.1346,458.1643,-241.8795,0.701805,0.290771,-0.265532,0.593646,1.631207,0.67584,-0.617178,-0.44366,-0.168513,0.196344,2.034577,-2.361603,0.138948,-0.447212,-0.170247,0.196517,-2.111271,2.283514,-0.206469
134,1769517771573,1.488906,1.8195,458.2081,-241.5828,0.701865,0.290574,-0.265839,0.593534,1.631422,0.675413,-0.617919,-0.44359,-0.168263,0.196297,2.03469,-2.361622,0.139031,-0.447074,-0.169748,0.196561,-2.110921,2.282916,-0.205319
135,1769517771585,1.500017,1.6104,458.2536,-241.3148,0.70176,0.290806,-0.265515,0.593689,1.631074,0.675911,-0.617128,-0.443511,-0.167713,0.196302,2.03457,-2.361675,0.138873,-0.447169,-0.169482,0.196621,-2.111389,2.283555,-0.20649
136,1769517771596,1.511128,1.5577,458.056,-241.1181,0.701809,0.290918,-0.265345,0.593652,1.631214,0.676181,-0.616741,-0.443441,-0.167475,0.196306,2.034632,-2.361663,0.138788,-0.447284,-0.169346,0.196443,-2.111517,2.283814,-0.207384
137,1769517771607,1.522239,1.3732,458.0593,-240.8932,0.701679,0.290757,-0.265452,0.593838,1.630786,0.675753,-0.616941,-0.44338,-0.16725,0.196275,2.034681,-2.361638,0.138857,-0.447312,-0.168984,0.196448,-2.111298,2.283838,-0.206219
138,1769517771618,1.533351,0.9966,458.0878,-240.7094,0.701701,0.290432,-0.265905,0.593767,1.630885,0.675018,-0.618014,-0.44327,-0.166812,0.196242,2.03481,-2.361546,0.138964,-0.447048,-0.16848,0.196458,-2.110755,2.283048,-0.204209
139,1769517771629,1.544462,0.8202,457.9376,-240.5415,0.701799,0.290568,-0.26576,0.593651,1.63119,0.675367,-0.617706,-0.443199,-0.166579,0.196214,2.034905,-2.36154,0.139038,-0.447021,-0.1683,0.196317,-2.110916,2.283178,-0.205272
140,1769517771640,1.555573,0.4485,458.0061,-240.2134,0.701877,0.290459,-0.265583,0.593691,1.631345,0.675102,-0.617283,-0.443093,-0.166098,0.196187,2.034784,-2.361602,0.13914,-0.446934,-0.167832,0.19639,-2.110458,2.283674,-0.205524
141,1769517771651,1.566684,0.2792,457.9655,-240.1791,0.701902,0.290512,-0.265484,0.593679,1.631412,0.67523,-0.617057,-0.443055,-0.165844,0.196201,2.034682,-2.36158,0.139153,-0.446837,-0.167726,0.196343,-2.110507,2.283842,-0.205994
142,1769517771662,1.577796,-0.0602,457.992,-240.0165,0.70183,0.2903,-0.265977,0.593646,1.631267,0.674746,-0.618212,-0.442988,-0.165608,0.196159,2.034675,-2.361665,0.139316,-0.446615,-0.167261,0.196352,-2.110353,2.282903,-0.203996
143,1769517771673,1.588907,-0.3901,457.9646,-239.8306,0.701869,0.290382,-0.266029,0.593537,1.631431,0.674966,-0.61836,-0.442868,-0.165147,0.196148,2.034819,-2.361526,0.139274,-0.446456,-0.166925,0.19632,-2.110558,2.282651,-0.204274
144,1769517771685,1.600018,-0.4381,457.8951,-239.6451,0.701946,0.290226,-0.266083,0.593499,1.631634,0.674614,-0.618494,-0.44282,-0.164907,0.196176,2.034776,-2.361445,0.139213,-0.446505,-0.166725,0.196263,-2.110131,2.282624,-0.203862
