FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
40,1769790311011,0.444451,617.1690,234.5862,-435.9275,0.675294,0.137718,-0.065951,0.721569,1.491800,0.304233,-0.145694,0.151379,-0.433845,0.280859,2.990191,0.094606,0.141805,617.168624,234.646510,-435.903610,0.675093,0.137725,-0.065930,0.721758
41,1769790311022,0.455562,617.2602,234.8253,-435.9937,0.675184,0.137701,-0.066102,0.721661,1.491503,0.304187,-0.146022,0.151380,-0.433853,0.280869,2.990131,0.094608,0.141801,617.264438,234.753590,-435.900505,0.675143,0.137695,-0.066059,0.721705
42,1769790311033,0.466673,617.2605,234.8031,-435.7635,0.675078,0.137672,-0.066157,0.721762,1.491211,0.304110,-0.146138,0.151382,-0.433847,0.280856,2.990177,0.094632,0.141805,617.291667,234.797281,-435.792600,0.675116,0.137667,-0.066120,0.721730
43,1769790311044,0.477785,617.3622,234.7693,-435.6330,0.674949,0.137616,-0.066096,0.721898,1.490850,0.303971,-0.145996,0.151379,-0.433843,0.280850,2.990202,0.094582,0.141868,617.331333,234.822233,-435.685929,0.675029,0.137616,-0.066172,0.721817
44,1769790311055,0.488896,617.3647,234.8416,-435.5916,0.675047,0.137583,-0.066209,0.721802,1.491121,0.303908,-0.146251,0.151380,-0.433841,0.280849,2.990204,0.094592,0.141820,617.322090,234.820148,-435.645700,0.675056,0.137570,-0.066230,0.721795
45,1769790311067,0.500007,617.2782,234.8255,-435.7328,0.675171,0.137500,-0.066371,0.721687,1.491460,0.303738,-0.146614,0.151355,-0.433853,0.280840,2.990229,0.094513,0.141767,617.335495,234.829571,-435.668481,0.675090,0.137540,-0.066313,0.721761
46,1769790311078,0.511118,617.3029,234.8832,-435.7408,0.675135,0.137536,-0.066389,0.721712,1.491367,0.303815,-0.146653,0.151351,-0.433850,0.280853,2.990195,0.094471,0.141788,617.331510,234.849367,-435.701471,0.675137,0.137517,-0.066406,0.721713
47,1769790311089,0.522229,617.4006,234.8226,-435.6509,0.675073,0.137517,-0.066439,0.721770,1.491196,0.303767,-0.146761,0.151355,-0.433851,0.280863,2.990157,0.094529,0.141749,617.339124,234.872876,-435.712767,0.675131,0.137496,-0.066443,0.721719
48,1769790311100,0.533341,617.3375,234.9379,-435.7053,0.675159,0.137466,-0.066449,0.721698,1.491428,0.303662,-0.146786,0.151373,-0.433847,0.280874,2.990141,0.094615,0.141775,617.342176,234.930600,-435.686595,0.675118,0.137481,-0.066431,0.721735
49,1769790311111,0.544452,617.3068,235.0171,-435.6908,0.675127,0.137452,-0.066424,0.721733,1.491336,0.303627,-0.146729,0.151363,-0.433854,0.280845,2.990204,0.094545,0.141779,617.323071,235.039671,-435.678648,0.675142,0.137456,-0.066418,0.721719
