FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
55,1769790335967,0.611127,613.4557,241.7725,-422.5870,0.691099,0.180209,-0.110603,0.691140,1.544779,0.402813,-0.247226,0.146237,-0.435901,0.286895,3.048254,0.283346,0.144677,613.658862,241.644781,-422.492295,0.690885,0.180327,-0.110403,0.691354
56,1769790335978,0.622238,614.1784,241.4976,-422.0953,0.690789,0.181337,-0.110939,0.691101,1.544110,0.405340,-0.247980,0.146483,-0.435749,0.287173,3.048777,0.288604,0.145018,613.967995,241.741381,-422.145119,0.690876,0.181196,-0.111123,0.691021
57,1769790335989,0.633349,614.2906,241.5374,-421.9882,0.690779,0.181997,-0.111767,0.690804,1.544267,0.406863,-0.249859,0.146586,-0.435667,0.287318,3.049026,0.291031,0.145244,614.177938,241.599548,-422.052462,0.690869,0.182066,-0.111766,0.690696
58,1769790336000,0.644461,614.3705,242.0207,-421.8922,0.690853,0.182903,-0.112471,0.690376,1.544689,0.408956,-0.251476,0.146695,-0.435596,0.287435,3.049310,0.293451,0.145510,614.354795,241.674871,-422.137786,0.690939,0.182841,-0.112461,0.690308
59,1769790336011,0.655572,614.1892,241.5496,-422.5773,0.691234,0.183545,-0.113182,0.689708,1.545943,0.410497,-0.253130,0.146921,-0.435439,0.287684,3.049833,0.298211,0.146028,614.558695,241.905510,-422.232005,0.691096,0.183570,-0.113167,0.689842
60,1769790336022,0.666683,614.9690,242.2898,-422.3800,0.691212,0.184228,-0.113908,0.689428,1.546063,0.412070,-0.254782,0.147036,-0.435372,0.287817,3.050039,0.300486,0.146302,614.783957,242.243281,-422.278071,0.691162,0.184301,-0.113835,0.689470
61,1769790336033,0.677794,615.2762,242.6559,-421.9984,0.691070,0.185091,-0.114326,0.689270,1.545840,0.414027,-0.255733,0.147136,-0.435293,0.287915,3.050378,0.302611,0.146576,615.036638,242.598271,-422.308757,0.691150,0.184968,-0.114497,0.689195
62,1769790336044,0.688906,614.9862,243.1396,-422.2857,0.690993,0.185612,-0.115218,0.689058,1.545798,0.415226,-0.257750,0.147360,-0.435158,0.288193,3.050683,0.307179,0.147072,615.244124,243.021305,-422.208686,0.690922,0.185681,-0.115064,0.689137
63,1769790336056,0.700017,615.3006,243.2794,-422.4160,0.690940,0.186317,-0.115697,0.688841,1.545809,0.416840,-0.258843,0.147458,-0.435099,0.288308,3.050864,0.309362,0.147249,615.231400,243.336352,-422.307667,0.690935,0.186347,-0.115689,0.688840
64,1769790336067,0.711128,615.3118,243.5248,-422.3473,0.690695,0.187063,-0.116151,0.688808,1.545281,0.418513,-0.259863,0.147645,-0.434971,0.288566,3.051189,0.313591,0.147583,615.282757,243.730376,-422.440481,0.691007,0.186994,-0.116327,0.688485
